Age Range,Weekly Hours of TV,Weekly Hours on Social Media,Longitude,Latitude,Favourite Color,Favourite Protein,Favourite Film Genre,"Favourite Music Genre
 ",Favourite Pet
41-50,3,16,-82.19104,46.738228,Light Blue,Fish,Action,Rock n roll,Other
41-50,13,20,-104.93351,43.59531,Grey,Beef,Romantic Comedy,latin,Other
30-40,14,13,-82.19104,43.887501,Light Turquoise,Fish,romantic comedy,Jazz,Cat
41-50,11,20,-82.19104,45.427944,Aqua,Chicken,romantic comedy,latin,cat
50+,11,1,-82.19104,46.490002,Copper,Vegetarian,Horror,World,fish
30-40,4,18,-71.254028,50.584435,Grey,Beef,Comedy,latin,other
30-40,9,15,-104.93351,43.683334,Sea Green,Fish,Romantic Comedy,punk,other
30-40,12,17,-82.19104,45.404476,Automatic,Vegetarian,Comedy,Pop,fish
50+,11,5,-82.19104,49.489536,Magenta,Vegetarian/Vegan,romantic comedy,latin,cat
41-50,7,7,-117.295425,42.891411,Olive Green,Beef,Horror,Pop,dog
50+,4,9,-82.19104,45.826653,Cyan,Beef,horror,Rock n roll,Fish
30-40,7,19,-71.254028,50.27179,Coral,Vegetarian/Vegan,Documentary,Classical,Other
50+,6,10,-117.295425,42.992157,Berry,Pork,Comedy,Punk,other
18-29,5,5,-82.19104,45.427944,Chocolate,fish,Drama,jazz,Cat
50+,15,4,-82.19104,45.404476,Dark Green,Pork,comedy,jazz,cat
30-40,11,8,-117.295425,42.891411,Teal,Vegetarian,Drama,Hip Hop,Other
50+,15,17,-82.19104,49.15794,Light Green,chicken,Documentary,Punk,Dog
30-40,10,7,-82.19104,45.964993,Ice Blue,Beef,Action,Hip Hop,Dog
50+,5,12,-82.19104,43.887501,Copper,Beef,Horror,Punk,other
18-29,16,9,-104.93351,43.526646,Gold,Fish,Drama,Rock n roll,dog
18-29,12,12,-82.19104,46.087818,Aqua,Vegetarian,Action,Classical,cat
41-50,14,8,-82.19104,49.882114,Gray,chicken,Documentary,Classical,Dog
18-29,14,12,-104.93351,43.59531,Dark Pink,fish,romantic comedy,Latin,cat
41-50,10,1,-82.19104,46.738228,Red,Beef,romantic comedy,Indie,dog
41-50,4,7,-82.19104,46.829853,Indigo,Vegetarian,Drama,Classical,Other
18-29,1,9,-82.19104,43.856098,Platinum,Vegetarian,Action,rap,Other
41-50,8,10,-117.295425,42.317432,Magenta,Chicken,romantic comedy,latin,Fish
41-50,10,11,-82.19104,48.407326,Sky Blue,Vegetarian,horror,latin,other
30-40,15,18,-82.19104,49.489536,Very Light Yellow,Vegan,Documentary,Hip Hop,cat
18-29,1,6,-117.295425,42.891411,Gray,fish,Comedy,indie,Cat
41-50,14,9,-82.19104,46.490002,Light Blue,Vegetarian/Vegan,drama,world,Fish
30-40,15,15,-82.19104,45.404476,Ocean Blue,fish,Horror,Jazz,Fish
50+,12,6,-71.254028,50.27179,Automatic,Pork,Romantic Comedy,Indie,Other
50+,6,1,-82.19104,46.490002,Rose,Pork,Documentary,hip hop,Fish
50+,13,16,-117.295425,43.159374,Aqua,Vegan,Drama,Rock n roll,Fish
30-40,11,13,-117.295425,43.159374,Cyan,Fish,Action,punk,fish
41-50,4,5,-117.295425,43.159374,Gray,Pork,Documentary,world,dog
30-40,10,10,-82.19104,47.560539,Platinum,Fish,Comedy,Classical,cat
18-29,6,16,-82.19104,44.389355,Olive Green,Chicken,drama,Classical,other
30-40,11,2,-82.19104,45.273918,Ice Blue,Fish,Drama,pop,dog
18-29,16,11,-82.19104,46.490002,Indigo,Beef,action,rap,cat
41-50,1,11,-117.295425,42.404804,Ocean Blue,fish,Romantic Comedy,Hip Hop,Fish
18-29,6,1,-104.93351,43.526646,Light Green,Vegetarian,Drama,World,other
50+,7,6,-82.19104,45.427944,Pink,Fish,Horror,jazz,Cat
41-50,3,20,-82.19104,46.738228,Rose,Vegan,Documentary,Indie,Other
18-29,1,17,-82.19104,44.608246,Silver,Vegetarian,action,Latin,Cat
50+,10,7,-82.19104,48.407326,Light Green,Vegan,action,pop,fish
18-29,4,20,-71.254028,56.732014,Copper,Beef,Horror,Indie,Dog
41-50,6,10,-82.19104,48.407326,Black,Vegetarian,Documentary,Indie,Dog
41-50,9,19,-117.295425,43.159374,Gray,fish,Documentary,latin,Other
41-50,16,7,-82.19104,43.6912,Ivory,Vegetarian/Vegan,romantic comedy,hip hop,dog
50+,7,20,-82.19104,46.087818,Lime,Fish,drama,Hip Hop,Dog
41-50,1,18,-71.254028,50.584435,Ivory,Vegetarian/Vegan,Drama,jazz,fish
50+,1,5,-82.19104,43.856098,Dark Red,Vegan,comedy,Rap,Other
30-40,11,15,-104.93351,43.683334,Dark Purple,Beef,horror,Indie,Dog
18-29,7,15,-82.19104,43.837208,Pink,Vegetarian/Vegan,romantic comedy,punk,Cat
50+,16,20,-71.254028,52.268112,Indigo,Fish,Action,World,cat
18-29,2,20,-82.19104,45.427944,Light Blue,Chicken,Documentary,Rock n roll,dog
18-29,5,13,-82.19104,46.087818,Gold,fish,Horror,Classical,other
18-29,16,2,-82.19104,47.560539,Turqoise,Fish,Documentary,Punk,Fish
41-50,7,10,-82.19104,45.427944,Yellow,Vegan,Comedy,jazz,Dog
30-40,15,15,-71.254028,50.27179,Ivory,Beef,drama,latin,dog
18-29,9,5,-71.254028,50.27179,Dark Blue,chicken,action,hip hop,cat
30-40,11,16,-82.19104,43.887501,Grey,Vegan,Comedy,Pop,dog
50+,14,19,-82.19104,48.098709,Chocolate,Vegan,Documentary,Classical,cat
18-29,6,18,-117.295425,42.891411,Blue,Pork,Action,Jazz,Dog
41-50,12,4,-117.295425,43.255203,Pink,Vegetarian,comedy,Pop,dog
50+,10,9,-117.295425,42.778828,Dark Green,Chicken,Drama,hip hop,other
30-40,16,4,-82.19104,43.837208,White,Chicken,Romantic Comedy,hip hop,fish
41-50,15,18,-71.254028,50.584435,Teal,Beef,horror,indie,dog
50+,9,18,-82.19104,43.837208,Gray,Beef,drama,World,Cat
50+,8,5,-82.19104,47.560539,Turqoise,fish,Drama,latin,cat
41-50,9,11,-82.19104,45.404476,Pink,chicken,Documentary,Rock n roll,Dog
30-40,5,19,-104.93351,43.526646,Grey,Chicken,Documentary,Punk,Fish
30-40,10,4,-82.19104,47.560539,Periwinkle,Chicken,comedy,Rap,fish
41-50,13,20,-82.19104,45.964993,Orange,Fish,horror,Punk,Cat
41-50,4,19,-82.19104,49.267132,Pale Blue,Chicken,Documentary,Rock n roll,Fish
41-50,9,17,-82.19104,45.273918,Silver,Pork,Romantic Comedy,Pop,fish
50+,5,6,-82.19104,43.837208,Olive Green,fish,comedy,Pop,Cat
41-50,14,15,-82.19104,43.6912,Magenta,Fish,Horror,Classical,Dog
50+,4,4,-82.19104,49.15794,Dark Teal,chicken,Documentary,pop,cat
30-40,5,16,-82.19104,44.608246,Dark Green,Pork,action,indie,Fish
41-50,1,1,-71.254028,50.584435,Ivory,Beef,Horror,Hip Hop,dog
50+,9,20,-104.93351,43.59531,Dark Blue,Vegetarian/Vegan,drama,Pop,Cat
18-29,1,9,-71.254028,52.146973,Plum,Vegetarian/Vegan,comedy,hip hop,fish
41-50,12,1,-82.19104,48.407326,Light Green,Fish,Drama,Jazz,Other
41-50,12,6,-71.254028,52.146973,Light Green,fish,Comedy,punk,Fish
50+,4,16,-71.254028,52.268112,Ice Blue,Pork,Romantic Comedy,World,Dog
30-40,16,6,-117.295425,39.813019,Turqoise,Beef,drama,Latin,other
41-50,2,11,-82.19104,49.165882,Dark Yellow,Vegetarian,Documentary,Indie,other
50+,1,11,-82.19104,49.283764,Light Orange,Pork,drama,indie,cat
18-29,2,16,-104.93351,43.683334,Very Light Yellow,Vegetarian,Action,Jazz,Fish
18-29,6,10,-82.19104,45.404476,Periwinkle,Pork,Documentary,hip hop,fish
18-29,3,2,-82.19104,43.887501,Ice Blue,Beef,Drama,Rock n roll,Cat
30-40,10,10,-82.19104,44.608246,Indigo,Beef,drama,Punk,dog
41-50,16,13,-82.19104,49.166592,Sea Green,Vegetarian/Vegan,action,latin,Cat
50+,15,5,-82.19104,46.829853,Blue,Pork,drama,World,dog
30-40,1,1,-104.93351,43.59531,Magenta,Vegetarian,Horror,Jazz,dog
30-40,1,9,-82.19104,49.166592,Sky Blue,chicken,Horror,Jazz,fish
41-50,16,16,-82.19104,44.608246,Violet,Vegetarian,horror,hip hop,Cat
30-40,2,10,-117.295425,39.813019,Chocolate,Beef,horror,Classical,Other
50+,6,19,-71.254028,52.146973,Dark Red,Vegan,horror,Rock n roll,other
30-40,13,8,-117.295425,33.039139,Black,Vegan,Romantic Comedy,World,fish
30-40,7,11,-104.93351,43.526646,Rose,Chicken,Documentary,rap,Fish
18-29,14,15,-117.295425,43.255203,Blue Grey,Beef,Romantic Comedy,World,Other
41-50,6,20,-82.19104,43.6912,Dark Green,Chicken,action,indie,Dog
30-40,3,4,-71.254028,50.584435,Blue,Vegetarian,comedy,hip hop,Dog
18-29,11,7,-82.19104,47.560539,Sky Blue,Beef,Action,pop,fish
18-29,2,13,-82.19104,43.6912,Red,Fish,romantic comedy,Classical,Other
18-29,8,20,-117.295425,42.404804,Light Green,Beef,Drama,hip hop,cat
41-50,12,19,-82.19104,46.087818,Coral,Beef,Horror,pop,other
18-29,10,10,-82.19104,46.803284,Grey,Vegetarian/Vegan,Romantic Comedy,indie,cat
18-29,14,3,-82.19104,43.6912,Very Light Yellow,fish,drama,Pop,cat
30-40,12,3,-82.19104,44.608246,Pale Blue,Fish,action,latin,Fish
18-29,12,4,-117.295425,33.039139,Lime,Vegan,Horror,Latin,Dog
30-40,7,4,-82.19104,45.427944,Cyan,Pork,Drama,world,fish
30-40,8,15,-117.295425,42.778828,Gray,Vegetarian,Documentary,Rock n roll,fish
30-40,2,11,-71.254028,50.584435,Blue,Vegan,drama,Rap,dog
41-50,13,2,-71.254028,52.268112,Sea Green,fish,Romantic Comedy,Rock n roll,Dog
30-40,3,13,-82.19104,43.837208,Plum,chicken,Documentary,Punk,Dog
30-40,4,4,-117.295425,42.992157,Teal,Vegetarian,horror,Latin,fish
30-40,2,14,-82.19104,44.389355,Ivory,Fish,Comedy,Pop,dog
18-29,8,10,-82.19104,47.560539,Lavender,Beef,romantic comedy,Punk,other
30-40,12,9,-82.19104,43.837208,Olive Green,Vegetarian,Drama,World,cat
30-40,5,12,-82.19104,46.829853,Lime,Vegetarian,Comedy,Hip Hop,Other
41-50,6,3,-82.19104,49.166592,Pink,Vegetarian/Vegan,Comedy,World,cat
30-40,14,16,-117.295425,43.255203,Dark Teal,fish,comedy,World,Other
41-50,11,20,-82.19104,49.283764,Pale Blue,Fish,action,Indie,fish
41-50,14,11,-82.19104,49.895077,Sky Blue,Beef,Drama,punk,cat
18-29,5,4,-71.254028,52.268112,Dark Pink,Chicken,Romantic Comedy,Latin,Other
18-29,4,11,-82.19104,43.856098,Violet,Chicken,Documentary,pop,Dog
41-50,4,6,-104.93351,43.328674,Brown,Chicken,horror,Classical,Fish
41-50,12,4,-117.295425,42.404804,Light Turquoise,Vegetarian,horror,Classical,dog
30-40,11,20,-82.19104,46.829853,Dark Yellow,Pork,Comedy,latin,cat
30-40,9,19,-104.93351,43.59531,Dark Green,Beef,Romantic Comedy,World,Dog
41-50,12,14,-71.254028,50.27179,Violet,Vegan,Horror,Classical,fish
30-40,11,2,-104.93351,43.683334,Light Blue,chicken,Horror,Rock n roll,other
41-50,11,3,-82.19104,43.856098,Light Blue,Fish,Horror,jazz,dog
41-50,1,6,-82.19104,45.964993,Black,chicken,horror,hip hop,other
41-50,8,2,-82.19104,49.489536,Platinum,Beef,romantic comedy,World,other
41-50,15,12,-82.19104,43.6912,Aqua,Beef,romantic comedy,Classical,Other
18-29,11,7,-71.254028,53.631611,Platinum,Vegetarian,drama,latin,dog
18-29,8,6,-82.19104,49.283764,Lavender,Pork,drama,Rap,fish
30-40,13,5,-117.295425,42.992157,Violet,Chicken,Documentary,Pop,Dog
50+,11,15,-82.19104,46.490002,Violet,Fish,drama,rap,fish
50+,14,18,-82.19104,46.738228,Olive Green,Vegetarian,Comedy,pop,dog
18-29,12,3,-117.295425,42.404804,Blue,Vegetarian,Action,Jazz,Dog
41-50,1,3,-82.19104,46.803284,Aqua,Vegetarian/Vegan,Action,pop,Cat
41-50,9,11,-82.19104,49.166592,Berry,Beef,Documentary,Indie,Other
50+,15,14,-82.19104,43.887501,Copper,Vegetarian,Documentary,Indie,dog
18-29,10,17,-82.19104,46.803284,Ice Blue,Vegan,Documentary,punk,Other
18-29,16,6,-82.19104,45.536945,Sky Blue,Pork,Action,latin,Other
41-50,15,3,-82.19104,45.826653,Brown,Beef,comedy,pop,dog
50+,7,16,-82.19104,43.887501,Dark Yellow,Vegetarian,Documentary,pop,Fish
18-29,9,7,-82.19104,49.165882,Indigo,Fish,Documentary,Rap,other
50+,16,15,-71.254028,52.146973,Dark Blue,Vegetarian,Drama,Hip Hop,fish
30-40,11,20,-71.254028,50.27179,Pink,Chicken,comedy,indie,cat
18-29,1,17,-104.93351,43.526646,Dark Red,Vegan,Drama,Rock n roll,Dog
30-40,5,7,-82.19104,45.826653,Ivory,fish,horror,hip hop,Other
50+,8,7,-82.19104,45.536945,Ivory,Beef,Horror,world,Fish
18-29,14,17,-71.254028,50.584435,Red,Vegan,drama,World,fish
30-40,16,8,-71.254028,56.732014,Dark Yellow,Beef,horror,Jazz,Dog
41-50,10,20,-82.19104,44.65107,Light Blue,Vegetarian/Vegan,horror,rap,Dog
41-50,14,16,-117.295425,42.404804,Red,Beef,Documentary,Classical,Cat
