Age Range,Weekly Hours of TV,Weekly Hours on Social Media,Longitude,Latitude,Favourite Color,Favourite Protein,Favourite Film Genre,"Favourite Music Genre
 ",Favourite Pet
41-50,8,17,49.283764,-82.19104,Magenta,Vegetarian,Horror,Rock n roll,Fish
18-29,1,14,45.427944,-82.19104,Black,Beef,comedy,Rap,other
41-50,8,15,45.964993,-82.19104,Brown,Vegetarian,Action,Rock n roll,fish
41-50,2,16,56.732014,-71.254028,Plum,Fish,Drama,Punk,Cat
50+,4,9,47.560539,-82.19104,Coral,Beef,Action,Pop,Cat
18-29,6,8,43.683334,-104.93351,Grey,fish,romantic comedy,rap,Cat
41-50,1,17,42.317432,-117.295425,Rose,Beef,Drama,Pop,Other
30-40,13,13,43.887501,-82.19104,Aqua,Vegetarian/Vegan,Horror,Rock n roll,other
18-29,10,5,42.778828,-117.295425,Brown,Vegetarian/Vegan,action,punk,Other
18-29,11,7,49.15794,-82.19104,Rose,Vegetarian/Vegan,Documentary,jazz,Other
41-50,4,2,49.895077,-82.19104,Olive Green,Beef,romantic comedy,Jazz,other
18-29,8,14,43.897545,-82.19104,Dark Red,Chicken,Romantic Comedy,latin,Other
30-40,6,11,45.536945,-82.19104,White,fish,Horror,Classical,Cat
50+,6,20,49.882114,-82.19104,Lime,Vegetarian,Comedy,Punk,cat
50+,2,12,43.683334,-104.93351,Light Orange,Beef,horror,Rap,cat
18-29,15,11,46.490002,-82.19104,Red,Beef,Horror,Rock n roll,other
50+,4,19,45.964993,-82.19104,Blue Grey,Beef,Comedy,Classical,other
30-40,12,2,47.560539,-82.19104,Ice Blue,Fish,Documentary,punk,Fish
41-50,12,3,43.159374,-117.295425,Very Light Yellow,Beef,Documentary,pop,cat
18-29,7,3,43.837208,-82.19104,Yellow,Vegetarian/Vegan,Drama,Indie,fish
30-40,2,7,46.738228,-82.19104,Periwinkle,Chicken,drama,rap,fish
18-29,11,18,43.6912,-82.19104,Ivory,Chicken,romantic comedy,Classical,Dog
30-40,1,5,43.526646,-104.93351,Cyan,Vegetarian,Documentary,Pop,cat
18-29,4,7,43.856098,-82.19104,Coral,Vegetarian/Vegan,Comedy,Rap,fish
41-50,4,2,43.837208,-82.19104,Gray,Vegetarian,Drama,Punk,Other
30-40,2,20,44.65107,-82.19104,Teal,Vegetarian/Vegan,Action,Latin,Fish
50+,4,9,53.631611,-71.254028,Silver,Vegetarian,Drama,world,Cat
50+,11,14,45.964993,-82.19104,Dark Teal,Chicken,comedy,Latin,Dog
41-50,9,16,44.65107,-82.19104,Ice Blue,Fish,Romantic Comedy,Classical,Dog
18-29,9,8,48.098709,-82.19104,Ice Blue,chicken,Documentary,Classical,Other
50+,9,16,45.427944,-82.19104,Cyan,Vegan,horror,punk,Cat
18-29,10,13,42.404804,-117.295425,Brown,Beef,comedy,jazz,cat
30-40,7,5,45.826653,-82.19104,Cyan,Fish,Comedy,Classical,Other
50+,3,14,44.389355,-82.19104,Plum,Chicken,Comedy,world,cat
18-29,16,8,43.856098,-82.19104,Coral,chicken,Documentary,Classical,dog
41-50,16,16,49.267132,-82.19104,Pink,fish,Comedy,Indie,other
41-50,12,17,52.268112,-71.254028,Rose,fish,drama,Hip Hop,fish
50+,3,17,56.732014,-71.254028,Light Orange,Vegan,action,rap,cat
18-29,8,18,33.039139,-117.295425,Pink,Fish,Romantic Comedy,Pop,Fish
30-40,5,11,46.087818,-82.19104,Light Green,Vegetarian/Vegan,Action,Rap,Other
30-40,12,11,49.15794,-82.19104,Cyan,Vegetarian/Vegan,action,Rock n roll,other
50+,8,10,46.829853,-82.19104,Dark Pink,chicken,comedy,Classical,dog
30-40,1,12,45.404476,-82.19104,Tan,Beef,Documentary,Indie,Other
30-40,7,17,45.826653,-82.19104,Pink,Beef,Documentary,Classical,Other
41-50,6,19,47.560539,-82.19104,Light Turquoise,Vegetarian/Vegan,Comedy,indie,other
41-50,10,15,49.267132,-82.19104,Red,Vegetarian,action,Rap,Fish
18-29,11,4,43.6912,-82.19104,Brown,Vegetarian,horror,pop,fish
50+,4,10,44.65107,-82.19104,Sky Blue,Beef,Comedy,Rap,Other
18-29,5,13,46.738228,-82.19104,Light Orange,fish,Documentary,Latin,Other
30-40,7,10,42.404804,-117.295425,Dark Blue,Vegetarian,Romantic Comedy,indie,cat
50+,5,18,42.992157,-117.295425,Automatic,Vegetarian/Vegan,Documentary,Latin,fish
18-29,9,6,43.6912,-82.19104,Turqoise,Beef,horror,world,fish
30-40,2,12,50.27179,-71.254028,Violet,Beef,Horror,Punk,cat
41-50,7,4,52.146973,-71.254028,Dark Red,Beef,Drama,Punk,Other
30-40,1,10,46.738228,-82.19104,Indigo,Beef,horror,Hip Hop,other
30-40,3,17,49.489536,-82.19104,Aqua,Vegetarian,action,Indie,Dog
41-50,11,3,43.887501,-82.19104,Sky Blue,Fish,comedy,jazz,Dog
30-40,2,2,49.895077,-82.19104,Cyan,Pork,drama,Rock n roll,Fish
41-50,10,19,39.813019,-117.295425,Ice Blue,Vegetarian,horror,pop,Dog
41-50,13,5,49.283764,-82.19104,Platinum,Vegetarian/Vegan,romantic comedy,Rap,dog
18-29,5,15,49.283764,-82.19104,Dark Red,chicken,Documentary,Classical,fish
50+,8,3,50.584435,-71.254028,Very Light Yellow,Vegan,Documentary,punk,fish
41-50,15,10,33.039139,-117.295425,Red,Beef,horror,Hip Hop,Cat
50+,7,7,42.404804,-117.295425,Magenta,Vegetarian,horror,Punk,Other
30-40,3,3,49.895077,-82.19104,Pink,Vegetarian/Vegan,romantic comedy,Pop,Other
30-40,10,7,50.27179,-71.254028,Automatic,Beef,action,pop,fish
50+,4,11,52.146973,-71.254028,Lime,chicken,drama,Jazz,Other
30-40,5,1,49.15794,-82.19104,Dark Teal,Fish,Drama,World,Cat
18-29,1,13,49.165882,-82.19104,Pink,chicken,drama,Hip Hop,cat
41-50,13,8,43.526646,-104.93351,Very Light Yellow,Vegetarian,Action,Punk,other
41-50,11,3,49.895077,-82.19104,Dark Red,fish,romantic comedy,world,dog
18-29,11,19,43.897545,-82.19104,Red,Vegetarian,Drama,jazz,other
18-29,4,5,43.526646,-104.93351,Chocolate,Vegetarian,comedy,Punk,dog
41-50,4,3,49.895077,-82.19104,Dark Purple,Pork,Comedy,world,cat
18-29,9,20,43.255203,-117.295425,Magenta,Chicken,Action,hip hop,Dog
41-50,14,5,43.328674,-104.93351,Pale Blue,Vegetarian/Vegan,action,Punk,fish
50+,9,12,43.255203,-117.295425,Rose,Vegetarian,romantic comedy,Latin,Fish
50+,8,8,42.992157,-117.295425,Orange,Pork,Comedy,Hip Hop,Fish
30-40,9,7,52.268112,-71.254028,Bright Green,fish,drama,Classical,Fish
41-50,3,19,43.837208,-82.19104,Light Orange,Beef,horror,Hip Hop,other
30-40,15,11,49.267132,-82.19104,Pink,Vegan,Action,punk,Dog
30-40,4,5,49.283764,-82.19104,Light Blue,Fish,comedy,World,Other
30-40,1,20,49.283764,-82.19104,Light Turquoise,Vegetarian,romantic comedy,Latin,Cat
30-40,2,1,49.15794,-82.19104,Lime,Chicken,Drama,hip hop,Fish
18-29,10,9,46.087818,-82.19104,Violet,Vegetarian/Vegan,Documentary,Classical,Dog
18-29,2,17,49.267132,-82.19104,Light Turquoise,Beef,romantic comedy,Classical,Cat
30-40,8,13,42.992157,-117.295425,Dark Green,chicken,Action,Rock n roll,cat
41-50,13,6,47.560539,-82.19104,Blue Grey,Beef,Horror,Jazz,fish
41-50,6,2,50.27179,-71.254028,Sea Green,fish,horror,Classical,Other
18-29,16,15,46.490002,-82.19104,Magenta,chicken,comedy,hip hop,Cat
50+,8,4,45.427944,-82.19104,Periwinkle,Vegan,Action,pop,Cat
50+,3,6,53.631611,-71.254028,Dark Green,Beef,Horror,Rock n roll,Other
50+,2,17,46.829853,-82.19104,Light Orange,Pork,Drama,rap,dog
18-29,3,17,49.882114,-82.19104,Dark Red,Pork,action,World,cat
41-50,15,6,43.6912,-82.19104,White,Beef,Horror,Jazz,cat
50+,4,5,46.087818,-82.19104,Blue Grey,Vegetarian/Vegan,Documentary,Punk,dog
30-40,11,8,43.328674,-104.93351,Aqua,Vegetarian,Comedy,indie,dog
41-50,14,12,43.683334,-104.93351,Dark Green,chicken,Action,Indie,fish
18-29,6,16,43.856098,-82.19104,Pale Blue,fish,Comedy,Classical,Other
41-50,2,14,46.738228,-82.19104,Turqoise,Vegetarian/Vegan,Romantic Comedy,jazz,Fish
50+,9,9,44.65107,-82.19104,Ivory,Vegetarian,Documentary,World,Other
50+,15,20,43.887501,-82.19104,Very Light Yellow,Vegetarian,horror,Classical,Other
30-40,15,12,46.803284,-82.19104,Tan,Pork,comedy,Classical,cat
30-40,3,1,45.826653,-82.19104,Dark Pink,Chicken,action,Rap,cat
41-50,5,10,42.317432,-117.295425,Pink,Vegetarian/Vegan,Comedy,indie,cat
41-50,10,13,45.404476,-82.19104,Ocean Blue,Beef,Drama,hip hop,cat
18-29,10,12,42.404804,-117.295425,Lavender,Beef,comedy,Classical,Dog
50+,4,10,42.992157,-117.295425,Light Blue,Beef,Action,Punk,Dog
30-40,14,3,43.837208,-82.19104,Pink,Beef,action,Classical,Cat
41-50,9,2,45.964993,-82.19104,Light Turquoise,fish,Romantic Comedy,Rock n roll,other
18-29,4,9,42.891411,-117.295425,Yellow,Beef,drama,Jazz,dog
18-29,16,4,39.813019,-117.295425,Blue Grey,chicken,Documentary,Indie,Fish
30-40,3,13,43.683334,-104.93351,Copper,fish,Horror,pop,Fish
41-50,6,13,42.317432,-117.295425,Blue,Vegetarian,horror,Classical,fish
50+,10,19,46.738228,-82.19104,Blue,Vegan,Romantic Comedy,Rap,Dog
41-50,3,15,44.608246,-82.19104,Pink,chicken,Action,hip hop,dog
30-40,1,2,52.146973,-71.254028,Gold,fish,Action,Latin,other
30-40,4,15,42.992157,-117.295425,Coral,Vegetarian/Vegan,Comedy,rap,cat
18-29,7,2,42.317432,-117.295425,Berry,Chicken,Documentary,Punk,other
50+,11,13,42.404804,-117.295425,Plum,Fish,Documentary,hip hop,Cat
18-29,7,9,46.490002,-82.19104,Copper,fish,comedy,Pop,Dog
18-29,4,17,43.897545,-82.19104,Dark Green,fish,drama,Rock n roll,Other
30-40,6,13,50.27179,-71.254028,Ice Blue,Beef,horror,Rock n roll,other
18-29,6,13,49.15794,-82.19104,Teal,fish,Comedy,Latin,Cat
18-29,4,13,46.803284,-82.19104,Bright Green,Beef,drama,indie,Other
50+,15,14,50.584435,-71.254028,Coral,Beef,Documentary,Hip Hop,Cat
41-50,16,7,43.683334,-104.93351,Light Orange,Pork,Documentary,World,other
41-50,11,10,46.490002,-82.19104,Automatic,Beef,Action,Rock n roll,Dog
30-40,6,11,49.882114,-82.19104,Brown,Vegan,horror,Hip Hop,Other
50+,13,9,49.489536,-82.19104,Brown,Pork,Documentary,Classical,cat
18-29,13,18,43.6912,-82.19104,Blue,fish,Documentary,World,dog
41-50,12,13,45.826653,-82.19104,Chocolate,chicken,Romantic Comedy,Hip Hop,Dog
18-29,3,10,43.837208,-82.19104,Copper,Pork,drama,jazz,Dog
50+,15,12,46.738228,-82.19104,Dark Pink,Chicken,Comedy,Rock n roll,other
18-29,2,11,50.27179,-71.254028,Blue Grey,Beef,Drama,jazz,cat
18-29,12,15,45.536945,-82.19104,Silver,Pork,drama,indie,other
30-40,8,5,43.856098,-82.19104,Dark Purple,fish,Action,Latin,other
50+,2,11,45.427944,-82.19104,Platinum,Beef,romantic comedy,World,other
18-29,13,1,50.27179,-71.254028,Rose,chicken,Documentary,Rap,Other
41-50,13,17,45.826653,-82.19104,Dark Purple,Beef,Action,rap,Dog
18-29,15,5,49.283764,-82.19104,Green,Vegan,Drama,Indie,other
18-29,3,3,45.964993,-82.19104,Sea Green,Vegetarian,action,Rap,other
50+,6,12,56.732014,-71.254028,Light Turquoise,Vegan,comedy,Latin,cat
41-50,1,8,47.560539,-82.19104,Bright Green,fish,Documentary,Hip Hop,cat
30-40,1,4,44.65107,-82.19104,Dark Purple,Beef,horror,world,other
30-40,13,9,50.27179,-71.254028,Pink,chicken,Documentary,pop,Cat
50+,12,2,43.683334,-104.93351,Cyan,Vegetarian/Vegan,drama,Jazz,Other
50+,14,16,42.404804,-117.295425,Olive Green,Chicken,romantic comedy,Hip Hop,other
30-40,4,4,43.6912,-82.19104,Lavender,fish,Documentary,Pop,other
41-50,5,5,33.039139,-117.295425,Light Green,chicken,Drama,latin,Other
30-40,16,7,44.608246,-82.19104,Light Blue,Beef,horror,Indie,dog
18-29,6,18,45.427944,-82.19104,White,Pork,Horror,hip hop,Other
50+,6,1,44.65107,-82.19104,Ice Blue,Pork,action,rap,fish
18-29,10,17,43.328674,-104.93351,Automatic,fish,Horror,Punk,cat
30-40,3,12,48.407326,-82.19104,Lavender,Pork,Documentary,Rap,other
30-40,8,8,39.813019,-117.295425,Dark Purple,Pork,comedy,Rock n roll,cat
41-50,3,3,42.404804,-117.295425,Plum,Chicken,Documentary,Jazz,Dog
41-50,8,12,43.255203,-117.295425,Light Turquoise,Vegetarian/Vegan,Documentary,pop,other
30-40,16,18,43.887501,-82.19104,Teal,Beef,Drama,World,Other
41-50,15,11,46.829853,-82.19104,Rose,Pork,Documentary,Hip Hop,Dog
30-40,3,13,42.992157,-117.295425,Ocean Blue,Vegetarian,Romantic Comedy,Rap,cat
30-40,16,11,49.489536,-82.19104,Gray,Fish,Action,latin,Cat
